level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1600	581	-1	
2	1	1	0	0	0	130	63	1393	460	-1	
3	1	1	1	0	0	130	63	1393	460	-1	
4	1	1	1	1	0	956	63	545	42	-1	
5	1	1	1	1	1	956	69	57	22	91.263176	iven
5	1	1	1	1	2	1033	66	53	24	96.802856	that
5	1	1	1	1	3	1106	64	48	30	95.691010	QR
5	1	1	1	1	4	1174	73	19	10	95.630806	=
5	1	1	1	1	5	1214	63	15	25	95.630806	8
5	1	1	1	1	6	1249	71	43	17	86.374374	cm
5	1	1	1	1	7	1312	66	50	23	96.187302	and
5	1	1	1	1	8	1380	67	51	33	93.361107	MQ
5	1	1	1	1	9	1447	82	15	11	69.758736	=
5	1	1	1	1	10	1477	77	24	28	40.894836	3
4	1	1	1	2	0	155	64	1368	71	-1	
5	1	1	1	2	1	155	65	20	21	18.675327	‘
5	1	1	1	2	2	194	64	26	62	0.000000	i
5	1	1	1	2	3	232	67	195	68	0.000000	etees
5	1	1	1	2	4	437	75	42	60	22.885262	xh
5	1	1	1	2	5	493	78	43	22	0.000000	2d
5	1	1	1	2	6	550	74	270	32	7.658443	Oi
5	1	1	1	2	7	929	69	120	64	11.610584	ihe
5	1	1	1	2	8	1065	106	41	24	96.926094	the
5	1	1	1	2	9	1122	105	75	24	96.426094	value
5	1	1	1	2	10	1213	104	31	24	96.510437	of
5	1	1	1	2	11	1257	105	49	24	96.605133	PR.
5	1	1	1	2	12	1510	96	13	21	17.409801	‘
4	1	1	1	3	0	205	151	992	58	-1	
5	1	1	1	3	1	205	152	27	27	46.616585	G)
5	1	1	1	3	2	250	151	51	32	80.228775	PQ?
5	1	1	1	3	3	316	165	17	10	62.750134	=
5	1	1	1	3	4	347	157	45	24	62.750134	PM
5	1	1	1	3	5	406	165	17	16	92.643509	x
5	1	1	1	3	6	438	161	37	22	61.140644	PR
5	1	1	1	3	7	512	162	36	28	86.582573	(ii)
5	1	1	1	3	8	563	159	54	32	87.806129	QR?
5	1	1	1	3	9	632	173	16	9	94.848061	=
5	1	1	1	3	10	662	163	38	23	96.454681	PR
5	1	1	1	3	11	714	168	17	17	95.889526	x
5	1	1	1	3	12	745	162	49	23	96.714241	MR
5	1	1	1	3	13	1176	167	21	42	49.330597	Pp
4	1	1	1	4	0	183	194	1021	55	-1	
5	1	1	1	4	1	183	194	47	29	73.425346	(ili)
5	1	1	1	4	2	248	194	51	32	96.008583	PQ?
5	1	1	1	4	3	313	205	17	16	96.048065	+
5	1	1	1	4	4	345	198	54	31	94.848297	QR?
5	1	1	1	4	5	413	211	17	10	96.360840	=
5	1	1	1	4	6	445	200	50	26	23.734360	PR?
5	1	1	1	4	7	1174	219	30	30	0.000000	d>
4	1	1	1	5	0	144	249	548	37	-1	
5	1	1	1	5	1	144	250	20	22	92.615997	7.
5	1	1	1	5	2	184	249	25	24	93.777878	In
5	1	1	1	5	3	224	252	19	22	94.564362	A
5	1	1	1	5	4	256	253	73	28	94.679565	ABC,
5	1	1	1	5	5	345	256	43	23	85.914093	ZB
5	1	1	1	5	6	403	266	17	10	96.705383	=
5	1	1	1	5	7	435	258	43	23	96.367378	90°
5	1	1	1	5	8	493	260	45	23	95.836456	and
5	1	1	1	5	9	552	261	43	23	95.920258	BD
5	1	1	1	5	10	609	262	22	23	49.534985	LL
5	1	1	1	5	11	643	262	49	24	81.924591	AC.
4	1	1	1	6	0	196	296	618	40	-1	
5	1	1	1	6	1	196	296	27	29	93.091026	(i)
5	1	1	1	6	2	241	298	24	23	96.727097	If
5	1	1	1	6	3	275	299	44	24	95.410599	CD
5	1	1	1	6	4	333	310	17	10	95.410599	=
5	1	1	1	6	5	367	302	28	24	96.870293	10
5	1	1	1	6	6	408	310	38	17	94.297379	cm
5	1	1	1	6	7	460	306	45	22	96.408211	and
5	1	1	1	6	8	520	306	43	23	95.750465	BD
5	1	1	1	6	9	577	317	17	10	94.794212	=
5	1	1	1	6	10	609	308	13	23	93.074661	8
5	1	1	1	6	11	637	316	46	20	96.570518	cm;
5	1	1	1	6	12	698	309	51	24	95.687859	find
5	1	1	1	6	13	761	310	53	23	96.669777	AD.
4	1	1	1	7	0	183	342	630	41	-1	
5	1	1	1	7	1	183	342	37	29	86.952827	(ii)
5	1	1	1	7	2	238	344	24	24	95.227509	If
5	1	1	1	7	3	271	346	44	23	96.587135	AC
5	1	1	1	7	4	329	356	17	10	96.576843	=
5	1	1	1	7	5	363	348	27	24	95.626312	18
5	1	1	1	7	6	405	356	38	17	95.626312	cm
5	1	1	1	7	7	457	352	46	23	95.546303	and
5	1	1	1	7	8	514	353	46	23	95.546303	AD
5	1	1	1	7	9	574	364	17	9	96.821548	=
5	1	1	1	7	10	605	355	15	23	96.824661	6
5	1	1	1	7	11	634	362	47	21	93.698303	cm;
5	1	1	1	7	12	696	356	51	24	96.417130	find
5	1	1	1	7	13	761	357	52	24	96.433952	BD.
4	1	1	1	8	0	171	389	625	41	-1	
5	1	1	1	8	1	171	389	47	29	68.887802	(ili)
5	1	1	1	8	2	235	391	24	23	96.362778	If
5	1	1	1	8	3	268	392	44	24	96.017632	AC
